
Donor,program_id,Required,Unique identifier of the program.,Text,,ICGC ARGO,,program_id,
Donor,submitter_donor_id,Required,"Unique identifier of the donor, assigned by the data provider.",Text,"Values must meet the regular expression
^[A-Za-z0-9\-\._]{1,64}}

Examples:
90234, BLD_donor_89, AML-90","mCODE 
STU 1",Cancer Patient,Patient.Identifier,
Donor,gender,Required,Description of the donor self-reported gender. Gender is described as the assemblage of properties that distinguish people on the basis of their societal roles.,Text,"Man
Woman
Non-binary
",Statistics Canada,,gender,
Donor,sex_at_birth,Required,Indicate donor's sex assigned at birth.,Text,"Male
Female
Other
Unknown",,,,
Donor,is_deceased,Required,Indicate if donor's last known status is deceased.,Boolean,"Yes
No","mCODE 
STU 1",Cancer Patient,Patient.deceased.boolean,"This field is required in order to submit ARGO's required ""vital_status"" field."
Donor,cause_of_death,"Conditional
Only required if ""is_deceased"" is ""Yes""",Indicate the cause of a donor's death.,Text,"Died of cancer
Died of other reasons
Unknown",ICGC ARGO,,cause_of_death, 
Donor,date_of_birth,Required,Indicate donor's date of birth.,Integer,Format YYYY-MM,"mCODE 
STU 1",Cancer Patient,Patient.birthDate,"This field is required in order to calculate ARGO's required ""age_at_diagnosis"" field, which is recorded in years."
Donor,date_of_death,"Conditional
Only required if ""is_deceased"" is ""Yes""",Indicate donor's date of death.,Integer,Format YYYY-MM,"mCODE 
STU 1",Cancer Patient,Patient.deceased.dateTime,"This field is required in order to calculate ARGO's required ""survival_time"" field which is recorded in days."
Donor,primary_site,Required,"The text term used to describe the primary site of disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O). This categorization groups cases into general categories.",Text,Accessory sinuses,ICGC ARGO,,primary_site,"To include multiple values, separate values with a pipe delimiter '|' within your file."
Primary Diagnosis,program_id,Required,Unique identifier of the program.,Text,,ICGC ARGO,,program_id,
Primary Diagnosis,submitter_donor_id,Required,"Unique identifier for the donor, assigned by the data provider. ",Text,"Values must meet the regular expression
^[A-Za-z0-9\-\._]{1,64}

Examples:
90234, BLD_donor_89, AML-90","mCODE 
STU 1",Cancer Patient,Patient.Identifier,
Primary Diagnosis,submitter_primary_diagnosis_id,Required,Indicate the primary diagnosis event in the clinical timeline that this specimen acquisition was related to.,Text,"Values must meet the regular expression
^[A-Za-z0-9\-\._]{1,64}

Examples:
90234, BLD_donor_89, AML-90","mCODE 
STU 1","Primary Cancer Condition 
or
Secondary Cancer Condition","Condition.identifier (Primary Cancer Condition)
or
Condition.identifier (Secondary Cancer Condition)",
Primary Diagnosis,date_of_diagnosis,Required,Date that the donor was first diagnosed with cancer. This date should be based on the earliest diagnosis.,Integer,Format YYYY-MM,"mCODE 
STU 1","Primary Cancer Condition
or
Secondary Cancer Condition","Condition.extension:assertedDate (Primary Cancer Condition)
or 
Condition.extension:assertedDate (Secondary Cancer Condition)","This field is required in order to calculate the required ARGO ""age_at_diagnosis"" field which is recorded in years (ie. [date_of_diagnosis]-[date_of_birth])."
Primary Diagnosis,cancer_type_code,Required,The code to represent the cancer type using the WHO ICD-10 code (https://icd.who.int/browse10/2019/en) classification.,Text,ICD-10 code,"mCODE 
STU 1","Primary Cancer Condition 
or
Secondary Cancer Condition","Condition.code (Primary Cancer Condition) 
or 
Condition.code (Secondary Cancer Condition)
ICD-10 codes from PrimaryOrUncertainBehaviorCancerDisorderVS
or
SecondaryCancerDisorderVS",
Primary Diagnosis,basis_of_diagnosis,Required,"Indicate the most valid basis of how the primary diagnosis was identified. If more than one diagnosis technique was used, select the term that has the highest code number ",Text,"Clinical investigation
Clinical
Cytology
Death certificate only
Histology of a metastasis
Histology of a primary tumour
Specific tumour markers
Unknown",IACR Standard for Basis of Diagnosis/ICGC ARGO,,basis_of_diagnosis,"IACR Definitions:
Death certificate only: Information provided is from a death certificate. 
Clinical: Diagnosis made before death.
Clinical investigation: All diagnostic techniques, including X-ray, endoscopy, imaging, ultrasound, exploratory surgery (such as laparotomy), and autopsy, without a tissue diagnosis. 
Specific tumour markers: Including biochemical and/or immunologic markers that are specific for a tumour site.
Cytology: Examination of cells from a primary or secondary site, including fluids aspirated by endoscopy or needle; also includes the microscopic examination of peripheral blood and bone marrow aspirates. 
Histology of a metastasis: Histologic examination of tissue from a metastasis, including autopsy specimens. 
Histology of a primary tumour: Histologic examination of tissue from primary tumour, however obtained, including all cutting techniques and bone marrow biopsies; also includes autopsy specimens of primary tumour. 
Unknown: No information on how the diagnosis has been made."
Primary Diagnosis,lymph_nodes_examined_status,Required,"Indicate if lymph nodes were examined for metastases.
",Text,"Cannot be determined
No
No lymph nodes found in resected specimen
Not applicable
Yes",ICGC ARGO,,lymph_nodes_examined_status,
Primary Diagnosis,lymph_nodes_examined_method,"This field is only required if ""lymph_nodes_examined_status"" is ""Yes""",Indicate method used to examine lymph nodes.,Text,"Imaging
Lymph node dissection/pathological exam
Physical palpation of patient",,,,
Primary Diagnosis,number_lymph_nodes_positive,"This field is only required if ""lymph_nodes_examined_status"" is ""Yes""",The number of regional lymph nodes reported as being positive for tumour metastases (Reference: NCI CDE ID: 6113694),Integer,,ICGC ARGO,,number_lymph_nodes_positive,
Primary Diagnosis,clinical_tumour_staging_system,"Conditional
This field is only required if pathological staging is not submitted.",Indicate the tumour staging system used to stage the cancer at the time of primary diagnosis (prior to treatment).,Text,"AJCC 8th edition
AJCC 7th edition
AJCC 6th edition
Ann Arbor staging system
Binet staging system
Durie-Salmon staging system
FIGO staging system
Lugano staging system
Rai staging system
Revised International staging system (RISS)
SEER staging system
St Jude staging system",ICGC ARGO,,clinical_tumour_staging_system,Either the clinical or pathological staging must be submitted.
Primary Diagnosis,clinical_t_category,"Conditional
This field is required only if the selected clinical_tumour_staging_system is any edition of the AJCC cancer staging system","The code to represent the extent of the primary tumour (T) based on evidence obtained from clinical assessment parameters determined at time of primary diagnosis and prior to treatment, according to criteria based on multiple editions of the AJCC's Cancer Staging Manual.",Text,Click for drop-down list of AJCC T category values,"mCODE 
STU 1",TNM Clinical Primary Tumor Category,"Observation.value[x]:valueCodeableConcept
AJCC values from TNM Primary Tumor Category Value Set
",
Primary Diagnosis,clinical_n_category,"Conditional
This field is required only if the selected clinical_tumour_staging_system is any edition of the AJCC cancer staging system","The code to represent the stage of cancer defined by the extent of the regional lymph node (N) involvement for the cancer based on evidence obtained from clinical assessment parameters determined at time of primary diagnosis and prior to treatment, according to criteria based on multiple editions of the AJCC's Cancer Staging Manual.",Text,Click for drop-down list of AJCC N category values,"mCODE 
STU 1",TNM Clinical Regional Nodes Category,"Observation.value[x]:valueCodeableConcept
AJCC values from TNM Regional Nodes Category Value Set",
Primary Diagnosis,clinical_m_category,"Conditional
This field is required only if the selected clinical_tumour_staging_system is any edition of the AJCC cancer staging system","The code to represent the stage of cancer defined by the extent of the distant metastasis (M) for the cancer based on evidence obtained from clinical assessment parameters determined at time of primary diagnosis and prior to treatment, according to criteria based on multiple editions of the AJCC's Cancer Staging Manual. MX is NOT a valid category and cannot be assigned.",Text,Click for drop-down list of AJCC M category values,"mCODE 
STU 1",TNM Clinical Distant Metastases Category,"Observation.value[x]:valueCodeableConcept
AJCC values from TNM Distant Metastases Category Value Set",
Primary Diagnosis,clinical_stage_group,"Conditional
This field is dependent on the selected clinical_tumour_staging_system. Please refer to the documentation for Tumour Staging Classifications: http://docs.icgc-argo.org/docs/submission/dictionary-overview#tumour-staging-classifications. ","Stage group of the tumour, as assigned by the reporting clinical_tumour_staging_system, that indicates the overall prognostic tumour stage (ie. Stage I, Stage II, Stage III etc.).",Text,Click for drop-down list of clinical stage groups,ICGC ARGO,,clinical_stage_group,"mCODE's TNM Stage Group Value Set only contains TNM stage groups, so for this reason the ARGO controlled terminology is suggested since it contains stage groups from non-TNM staging systems as well.

"
Specimen,program_id,Required,Unique identifier of the program.,Text,,ICGC ARGO,,program_id,
Specimen,submitter_donor_id,Required,"Unique identifier for the donor, assigned by the data provider. ",Text,"Values must meet the regular expression
^[A-Za-z0-9\-\._]{1,64}

Examples:
90234, BLD_donor_89, AML-90","mCODE 
STU 1",Cancer Patient,Patient.Identifier,
Specimen,submitter_specimen_id,Required,"Unique identifier of the specimen, assigned by the data provider.
",Text,"Values must meet the regular expression
^[A-Za-z0-9\-\._]{1,64}}

Examples:
LAML_PO, 00445, THY_099-tumour","mCODE 
STU 1",Genetic Specimen,Specimen.Identifier,
